,"New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population","New leprosy case detection rate per 1 000 000 population"
"Georgia","0","No data","No data","No data","0","0","0","No data","No data","No data","No data"
"Germany","0.04","0.024","0","No data","0","No data","0.024","0.025","No data","No data","No data"
"Ghana","8.28","8.010","8.367","9.172","9.272","8.948","10.317","11.018","No data","No data","No data"
"Greece","No data","No data","No data","No data","No data","0","0","No data","No data","No data","No data"
"Grenada","0","No data","No data","0","0","No data","No data","No data","0","9.443","18.96"
"Guatemala","0.06","0.170","No data","0","0.348","0","0","No data","0","0.065","0"
"Guinea","13.57","14.115","16.904","21.298","22.474","18.793","19.684","14.593","20.01","32.95","38.249"
"Guinea-Bissau","6.65","2.912","4.573","No data","No data","17.193","12.117","No data","No data","No data","No data"
"Guyana","35.86","39.773","No data","34.493","64.184","86.134","67.244","41.716","34.84","25.012","23.888"
"Haiti","1.30","2.271","No data","3.551","3.866","3.278","No data","4.855","0","No data","No data"
"Honduras","No data","No data","No data","0","0.209","0.216","0.22","0.124","0.242","0.494","0.504"
"Hungary","0","No data","0","0","No data","No data","0","No data","No data","No data","No data"
"Iceland","0","0","0","No data","0","No data","0","0","No data","No data","No data"
"India","73.26","53.563","47.208","83.76","88.962","94.21","102.317","97.118","99.246","101.357","108.962"
"Indonesia","45.16","40.095","40.848","64.44","63.574","60.267","64.439","66.787","67.342","67.46","76.941"
"Iran (Islamic Republic of)","0.07","0.114","0.06","0.217","0.355","0.234","No data","0.215","0.28","0.271","0.275"
"Iraq","0.07","0","0.05","0.051","No data","No data","No data","0","0.086","0.089","0.031"
"Ireland","No data","No data","0.203","No data","No data","No data","No data","0","No data","No data","No data"
"Israel","No data","No data","0.231","No data","No data","No data","No data","0.248","No data","No data","No data"
"Italy","0.05","No data","No data","No data","0.082","0.135","0.202","No data","No data","No data","No data"
"Jamaica","0.71","No data","0","1.696","0.681","No data","1.735","No data","0","No data","No data"
"Japan","0.02","0.024","0.03","0.039","0.016","0.016","0.024","0.055","0.039","0.024","0.024"
"Jordan","0","0","0","0","0","0","0","0","0","0","0"
"Kazakhstan","0","No data","No data","0","No data","0.055","0","No data","No data","No data","No data"
"Kenya","1.65","1.472","No data","2.625","No data","0.523","No data","No data","2.547","No data","No data"
"Kiribati","1150.63","1194.966","1331.146","1156.384","1493.349","1606.543","1905.794","1601.096","1183.364","1338.544","932.651"
"Kuwait","1.87","1.882","2.342","No data","2.175","1.45","1.481","No data","2.874","5.344","4.922"
"Kyrgyzstan","0","No data","0","No data","No data","No data","No data","No data","No data","No data","No data"
"Lao People's Democratic Republic","1.46","3.098","5.91","7.95","10.055","13.123","9.47","12.937","15.085","12.408","13.241"
"Latvia","0","No data","0","0","No data","0","0","0","No data","No data","No data"
"Lebanon","0","0","0","0","0","0","0.167","0.513","0","No data","0.215"
"Lesotho","No data","No data","0","0.941","0.949","No data","0.908","0.937","0.954","No data","No data"
"Liberia","No data","68.741","No data","20.051","33.617","32.122","No data","No data","80.739","No data","No data"
"Libya","No data","0.148","0.291","0.295","0.749","0.157","0.159","1.274","1.119","No data","0.65"
"Lithuania","0","No data","0","0","0","No data","0","No data","No data","No data","No data"
"Luxembourg","0","No data","No data","0","0","No data","0","No data","No data","No data","No data"
"Madagascar","48.97","44.613","48.608","47.573","54.222","55.923","71.502","61.357","68.598","68.441","66.117"
"Malawi","18.13","11.815","15.055","No data","18.795","18.849","15.035","No data","No data","No data","No data"
"Malaysia","4.83","4.229","5.407","6.103","5.773","6.198","6.605","6.924","10.203","10.297","11.115"
"Maldives","15.27","0","1.85","9.417","13.574","13.751","14.027","8.25","25.599","8.695","20.683"
"Mali","3.50","4.611","6.864","9.258","8.492","9.384","8.002","12.614","16.425","11.502","15.35"
"Malta","No data","0","0","2.271","No data","0","0","0","No data","No data","No data"
"Marshall Islands","577.35","927.467","523.70","527.292","1010.049","No data","1507.567","1056.76","1534.963","1766.952","2606.842"
"Mauritania","3.59","3.467","0","2.431","6.813","6.335","No data","4.425","No data","No data","No data"
"Mauritius","0.77","No data","1.57","No data","0.789","0","No data","No data","No data","No data","No data"
"Mexico","1.04","1.050","0.822","1.427","1.078","1.146","1.192","1.362","1.68","1.406","1.787"
"Micronesia (Federated States of)","805.86","786.699","1121.534","1265.256","1127.486","1336.012","1610.506","1569.979","1713.136","1883.203","2437.255"
"Monaco","0","0","0","0","0","0","0","No data","No data","No data","No data"
"Mongolia","0","0","0","0","0","0","0","No data","0","0","0"
"Montenegro","0","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Morocco","0.37","0.378","0.19","0.411","0.611","0.364","0.709","0.785","0.746","1.151","1.168"
"Mozambique","79.10","82.27","66.069","73.108","82.113","64.917","44.711","47.716","No data","No data","30.075"
"Myanmar","22.78","11.060","34.498","46.035","41.223","42.701","49.333","47.702","53.557","55.39","57.067"
"Namibia","13.25","No data","10.626","8.819","6.944","4.341","No data","No data","No data","No data","No data"
"Nauru","No data","239.770","No data","1114.827","749.766","No data","No data","195.669","0","198.965","199.422"
"Nepal","74.80","79.707","79.075","134.365","115.64","109.708","105.373","96.48","108.319","116.018","127.1"
"Netherlands (Kingdom of the)","0.10","No data","0.233","No data","0.117","0.176","0.294","No data","No data","No data","No data"
"New Zealand","0.77","0.975","0.622","1.254","0.632","0.638","No data","0.662","0.879","0.666","0.224"
"Nicaragua","0.58","2.04","No data","No data","0.928","1.126","0.163","1.315","2.431","3.454","1.335"
"Niger","14.16","12.038","10.16","14.285","14.125","12.944","16.93","18.996","21.743","23.778","27.044"
"Nigeria","10.95","11.237","6.874","12.062","10.696","12.819","7.323","15.872","16.71","19.497","22.537"
"Niue","0","No data","No data","No data","No data","0","0","No data","No data","0","No data"
"North Macedonia","No data","0","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Norway","0.18","No data","0","0","No data","0","No data","0","No data","No data","No data"
"Oman","0","0.221","0.392","0","0.207","0.216","No data","0.891","1.528","1.376","2.112"
"Pakistan","1.10","1.232","1.019","1.602","1.611","2.046","2.055","2.361","2.706","2.366","2.104"
"Palau","55.39","110.96","No data","166.657","55.844","No data","93.011","93.937","94.809","143.424","96.367"
"Panama","1.59","0.919","1.622","0.471","0.239","0.244","0.496","0.509","0.509","0.776","0.789"
"Papua New Guinea","48.80","47.741","52.867","65.747","58.329","70.657","44.032","50.923","72.23","52.04","39.486"
"Paraguay","37.75","41.917","27.76","49.399","49.597","47.128","50.704","63.412","54.643","59.833","77.011"
"Peru","0.79","0.415","0.485","0.738","0.875","0.342","0.724","1.02","0.715","0.889","1.067"
"Philippines","8.70","8.491","10.495","19.627","20.403","18.128","16.657","16.058","16.534","17.572","22.232"
"Poland","No data","No data","0","0","No data","No data","No data","No data","No data","No data","No data"
"Portugal","No data","No data","No data","0.587","0.488","No data","0.386","0.193","No data","No data","No data"
"Qatar","6.31","8.556","9.719","7.768","0","7.957","14.009","11.631","21.165","11.989","11.704"
"Republic of Korea","0.04","0.096","0.06","0.078","0.117","0.059","0.079","0.04","0.121","0.142","0.102"
"Republic of Moldova","0","No data","No data","No data","No data","No data","No data","0","No data","No data","No data"
"Romania","No data","No data","0","No data","No data","0","0","0","No data","No data","No data"
"Russian Federation","No data","No data","0.041","No data","0.021","No data","No data","0","No data","No data","No data"
"Rwanda","1.74","1.337","1.39","2.059","2.845","2.13","2.937","2.929","3.14","No data","3.578"
"Saint Kitts and Nevis","0","No data","No data","0","No data","No data","No data","No data","0","No data","No data"
"Saint Lucia","61.16","50.097","No data","32.824","43.983","22.366","No data","48.649","0","10.973","27.644"
"Saint Vincent and the Grenadines","0","No data","No data","No data","0","18.2","No data","No data","0","No data","0"
"Samoa","No data","No data","45.36","25.369","25.493","No data","56.371","31.051","41.703","63.034","42.354"
"San Marino","0","No data","0","0","0","No data","No data","No data","No data","No data","No data"
"Sao Tome and Principe","0","No data","No data","No data","No data","No data","15.007","No data","No data","No data","10.633"
"Saudi Arabia","0.52","0.695","0.46","0.496","0.534","0.273","0.433","0.095","0.238","0.277","0.141"
"Senegal","9.30","10.903","11.407","11.598","12.867","14.826","21.542","16.392","16.016","17.476","16.319"
"Serbia","No data","0","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Seychelles","0","9.392","10.169","0","0","0","No data","0","10.717","No data","No data"
"Sierra Leone","21.15","24.107","17.3","24.19","20.915","14.953","18.929","No data","No data","No data","39.473"
"Singapore","0.89","1.515","No data","No data","1.042","1.051","1.245","0.535","0.725","1.478","2.828"
"Slovakia","0","0","0","0","No data","No data","0","0","No data","No data","No data"
"Slovenia","0","0","0","0","No data","0","0","0","No data","No data","No data"
"Solomon Islands","44.18","38.144","52.411","56.732","71.991","67.065","71.735","22.276","83.789","53.454","23.654"
"Somalia","131.10","118.953","165.983","157.03","173.905","106.902","44.35","9.919","1.296","No data","13.634"
"South Africa","No data","No data","No data","0.427","No data","1.516","No data","0.642","No data","No data","0.286"
"South Sudan","87.51","66.336","60.927","104.139","69.334","No data","No data","No data","58.865","50.991","166.182"
"Spain","0.21","No data","0.04","No data","0.15","No data","No data","0.173","No data","No data","No data"
"Sri Lanka","64.17","47.076","56.601","77.754","80.221","89.908","No data","95.438","100.579","93.545","103.848"
"Sudan","10.07","10.929","11.996","11.165","12.177","13.594","15.766","15.509","17.645","17.833","19.545"
"Suriname","37.21","26.102","16.246","43.002","41.667","46.149","44.774","36.834","40.447","46.358","50.511"
"Sweden","0","No data","0.693","0.897","1.103","0","No data","No data","No data","No data","No data"
"Switzerland","No data","No data","No data","0","No data","0","0","No data","No data","No data","No data"
"Syrian Arab Republic","0","0","0","0.059","0.118","0.109","0","0.162","No data","No data","No data"
"Turkiye","0.02","No data","0.05","No data","No data","No data","No data","No data","No data","No data","No data"
"Tajikistan","0.70","No data","No data","1.287","No data","0","0","No data","No data","No data","No data"
"Thailand","1.02","0.866","1.275","1.982","1.8","2.376","2.367","2.752","3.094","2.806","3.294"
"Timor-Leste","87.98","113.555","83.432","83.519","82.809","81.771","86.705","93.689","77.228","90.036","62.831"
"Togo","9.72","15.269","13.166","15.342","9.887","8.592","10.78","13.142","13.871","No data","No data"
"Tonga","9.36","0","No data","0","9.69","No data","0","No data","No data","No data","No data"
"Trinidad and Tobago","11.76","11.798","No data","18.638","26.622","11.686","16.85","22.057","16.366","28.334","No data"
"Tunisia","0","0","0.169","0","No data","0.173","No data","0.089","0","0","0"
"Turkmenistan","No data","No data","0","0","No data","No data","No data","No data","No data","No data","No data"
"Tuvalu","972.42","446.269","No data","343.2","695.169","0","630.849","302.565","0","101.256","304.29"
"Uganda","12.30","8.483","5.116","4.947","4.704","4.923","5.086","6.174","7.079","No data","7.264"
"Ukraine","0.13","No data","No data","No data","0","No data","No data","No data","No data","No data","No data"
"United Arab Emirates","4.03","4.378","7.886","No data","0","0","4.315","No data","No data","3.317","No data"
"United Kingdom of Great Britain and Northern Ireland","No data","No data","No data","0.03","0.104","0.06","0.076","0.062","No data","No data","0.303"
"United Republic of Tanzania","26.03","23.762","19.955","27.635","26.317","33.781","36.835","42.192","38.359","40.708","52.906"
"United States of America","0.40","No data","0.48","No data","0.566","0.589","0.521","0.553","0.542","0.587","0.529"
"Uruguay","No data","0","1.152","2.889","1.739","1.446","0.871","1.748","1.17","1.468","1.473"
"Uzbekistan","0.06","0","No data","0","No data","No data","0.032","0","No data","No data","No data"
"Vanuatu","3.06","12.534","22.79","23.343","17.084","7.24","7.396","3.779","19.357","No data","No data"
"Venezuela (Bolivarian Republic of)","11.48","8.475","5.029","10.205","8.481","10.382","9.598","14.401","16.628","No data","23.101"
"Viet Nam","0.68","0.554","0.75","0.622","1.005","1.141","1.459","1.905","2.021","2.836","3.26"
"Yemen","6.65","8.126","6.572","10.836","12.562","12.637","13.305","9.504","16.541","15.692","16.434"
"Zambia","No data","No data","No data","11.534","11.584","11.934","No data","No data","No data","No data","No data"
"Zimbabwe","0.43","No data","1.009","0.341","0.623","1.089","No data","No data","0","No data","No data"
