"Armenia","94","100","83","11","0","","94","100","83","11","0","","94","100","83","11","0","","94","100","83","11","0","","94","100","83","11","0","","93","100","83","11","0","","93","100","82","11","1","","93","99","82","12","1","","93","99","82","12","2","","92","98","81","12","2","","92","98","81","12","2","","91","97","81","13","3","","91","97","80","13","3","","90","96","80","13","3","","90","96","80","13","4","","90","96","79","14","4","","89","95","79","14","4","","89","95","79","14","5","","89","94","78","14","5","","88","94","78","14","6","","88","93","78","15","6","","87","93","78","15","6","","87","92","77","15","7",""
"Australia","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","95","","","100","","","95","","","100","","","95","","","100","","","95","","","100","","","95","","","100","","","95","","","100","","","95","","","100","","","95","","","100","","","95","","","100","","","94","","","100","","","94","","","100","","","94","","","100","","","94","","","100","","","94","","","100","","","94","","","100","","","94","","","100","","","94","","","100","","","94","","","100","","","94","",""
"Austria","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99","100","100","100","100","100","99"
"Azerbaijan","","96","","","63","","","96","","","62","","","96","","","60","","96","96","96","69","59","","96","96","96","69","59","","96","96","96","69","58","","96","96","96","68","57","","96","96","96","68","56","","94","96","93","67","55","","92","95","90","65","54","","90","92","87","63","52","","87","90","84","61","50","","85","88","81","60","49","","82","86","78","58","47","","80","84","74","56","46","","77","82","71","54","44","","75","80","68","52","43","","72","79","65","50","41","","70","77","62","48","40","","68","76","60","46","38","","66","75","57","44","36","","64","74","54","42","36","","62","73","51","40","35",""
"Bahamas","","","","","","","","","","","","","","","","","","","95","","","","","","95","","","","","","95","","","","","","95","","","","","","95","","","","","","95","","","","","","94","","","","","","94","","","","","","93","","","","","","93","","","","","","92","","","","","","92","","","","","","91","","","","","","91","","","","","","90","","","","","","90","","","","","","89","","","","","","89","","","","","","88","","","","","","88","","","","",""
"Bahrain","100","","","92","","","100","","","92","","","100","","","92","","","100","","","91","","","100","","","91","","","100","","","91","","","100","","","90","","","100","","","90","","","100","","","90","","","100","","","90","","","100","","","89","","","100","","","89","","","100","","","89","","","100","","","89","","","100","","","88","","","100","","","88","","","100","","","88","","","100","","","87","","","100","","","87","","","100","","","87","","","100","","","87","","","100","","","86","","","100","","","86","",""
"Bangladesh","59","55","62","31","29","32","58","55","60","30","28","31","56","54","58","29","28","30","55","54","56","28","28","28","53","53","53","26","28","26","52","53","51","25","28","24","50","53","49","24","27","22","49","52","47","23","27","20","47","52","45","22","27","19","45","51","43","20","27","17","44","51","41","20","27","16","42","50","39","19","26","16","41","50","37","18","26","15","39","49","35","17","26","14","37","49","33","17","26","13","36","48","31","16","26","12","34","48","29","15","25","12","32","47","27","15","25","11","31","47","25","14","25","10","29","46","23","13","24","9","28","45","22","12","24","9","26","45","20","12","23","8","25","44","19","11","23","7"
"Barbados","98","","","","","","98","","","","","","98","","","","","","98","","","","","","97","","","","","","97","","","","","","97","","","","","","96","","","","","","96","","","","","","95","","","","","","95","","","","","","94","","","","","","94","","","","","","93","","","","","","93","","","","","","92","","","","","","92","","","","","","91","","","","","","91","","","","","","90","","","","","","90","","","","","","89","","","","","","89","","","","",""
"Belarus","100","100","98","75","81","49","100","100","98","75","81","49","99","100","98","75","82","50","99","100","98","75","82","51","99","99","98","75","81","52","98","99","98","75","81","53","98","98","97","75","81","54","97","97","97","76","82","55","97","97","97","76","82","57","96","96","97","77","83","58","96","96","97","78","84","60","96","95","97","79","84","61","95","95","96","79","85","63","95","94","96","80","86","64","94","93","96","81","86","66","94","93","96","82","87","67","93","92","96","83","88","69","93","92","96","83","88","70","92","91","96","84","89","72","92","91","95","85","89","73","92","91","95","85","89","73","92","91","95","85","89","73","92","91","95","85","89","73"
"Belgium","99","99","99","95","","","99","99","99","94","","","99","99","99","94","","","99","99","99","93","","","99","99","99","91","","","99","99","99","90","","","99","99","99","88","","","99","99","99","86","","","99","99","99","85","","","99","99","99","83","","","99","99","99","82","","","99","99","99","80","","","99","99","99","78","","","99","99","99","77","","","99","99","99","75","","","99","99","99","74","","","99","99","99","73","","","99","99","99","71","","","99","99","99","70","","","99","99","99","69","","","99","99","99","69","","","99","99","99","69","","","99","99","99","69","",""
"Belize","88","94","84","","","","88","94","84","","","","88","94","84","","","","88","94","84","","","","88","94","84","","","","88","93","83","","","","88","93","83","","","","87","92","83","","","","87","92","83","","","","87","91","83","","","","86","91","83","","","","86","90","83","","","","86","90","82","","","","85","89","82","","","","85","89","82","","","","85","88","82","","","","84","88","82","","","","84","87","82","","","","84","87","81","","","","83","86","81","","","","83","86","81","","","","83","86","80","","","","82","85","80","","",""
"Benin","19","30","10","3","4","2","19","30","10","3","4","2","19","30","10","3","4","2","19","29","9","3","4","2","18","28","9","3","3","2","17","28","8","2","3","2","17","27","8","2","3","1","16","27","7","2","3","1","16","26","7","2","3","1","15","26","7","2","3","1","14","25","6","2","3","1","14","24","6","2","3","1","13","24","5","2","3","1","13","23","5","2","3","1","12","23","5","2","3","1","12","22","4","2","3","1","11","22","4","2","3","1","11","21","4","1","3","1","10","21","3","1","2","1","10","20","3","1","2","1","9","20","3","1","2","1","9","19","2","1","2","0","9","19","2","1","2","0"
"Bhutan","78","77","79","51","41","58","78","77","79","51","41","58","77","77","77","50","41","57","75","77","75","50","41","56","74","76","73","49","41","55","73","76","71","49","42","53","71","76","69","49","43","52","70","75","67","48","43","51","69","75","65","48","44","50","67","75","63","47","45","49","66","74","61","47","46","48","64","74","59","47","47","47","63","74","57","46","47","46","61","73","55","46","48","44","59","73","53","45","49","43","58","73","51","44","49","42","56","73","49","43","49","40","55","73","47","42","49","39","53","72","45","41","49","38","51","72","43","40","49","36","49","72","40","39","49","35","47","72","38","38","49","33","47","72","38","37","49","33"
"Bolivia (Plurinational State of)","69","77","47","","","","68","77","46","","","","66","75","44","","","","64","73","42","","","","62","72","40","","","","60","70","39","","","","58","68","37","","","","57","67","35","","","","55","65","33","","","","53","63","32","","","","51","62","30","","","","50","60","28","","","","48","59","27","","","","46","57","25","","","","45","56","24","","","","43","54","22","","","","42","53","21","","","","40","52","20","","","","39","51","19","","","","38","50","17","","","","37","49","16","","","","36","49","15","","","","35","48","14","","",""
